GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
48445,"Terry, TX",56,      Real estate and rental and leasing,19501,20777,20755,20540,21307,22165,24893,21315,23426,26930,23654,26613,(D),32055,(D),(D),(D),41963,39188,(D)
48445,"Terry, TX",59,    Professional and business services,8289,6636,9089,9543,(D),12286,13402,12142,11710,12024,20526,20823,(D),23469,23872,23823,23031,24447,26231,26723
48445,"Terry, TX",60,"      Professional, scientific, and technical services",5274,(D),(D),(D),(D),4338,4608,(D),(D),(D),(D),(D),(D),(D),(D),6452,6269,5178,5223,5823
48445,"Terry, TX",64,      Management of companies and enterprises,0,(D),(D),(D),0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),11742,13742,15374,16465,15679
48445,"Terry, TX",65,      Administrative and support and waste management and remediation services,3015,3180,5246,5237,5905,7949,8793,7063,6737,6769,5957,5153,5038,5634,5477,5629,3019,3895,4543,5220
48445,"Terry, TX",68,"    Educational services, health care, and social assistance",4731,5649,8055,8979,9141,10525,10688,7842,8051,9276,8168,9637,10625,(D),(D),(D),(D),13540,14536,13492
48445,"Terry, TX",69,      Educational services,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),44,67,54
48445,"Terry, TX",70,      Health care and social assistance,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),13496,14469,13438
48445,"Terry, TX",75,"    Arts, entertainment, recreation, accommodation, and food services",5628,5952,6123,6118,6255,(D),(D),(D),(D),(D),(D),(D),8440,8892,8495,7754,7845,8828,9051,(D)
48445,"Terry, TX",76,"      Arts, entertainment, and recreation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),291,221,244,225,208,355,600,0
48445,"Terry, TX",79,      Accommodation and food services,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8150,8671,8250,7529,7637,8473,8451,(D)
48445,"Terry, TX",82,    Other services (except government and government enterprises),7078,7973,7742,7368,7776,7908,7630,7401,7267,7312,7306,7407,7594,8237,9485,9676,9449,9012,9048,8797
48445,"Terry, TX",83,Government and government enterprises,47748,49145,49860,51786,52914,53861,56231,57586,60315,63401,64039,66023,68559,71632,72352,74426,73262,74189,74444,77735
48445,"Terry, TX",,Addenda:,,,,,,,,,,,,,,,,,,,,
48445,"Terry, TX",87,Natural resources and mining,204407,227684,278163,335131,403027,435165,540045,628919,450345,621514,585237,611061,692741,490171,279131,225153,364787,(D),300117,165991
48445,"Terry, TX",88,Trade,34931,37304,39672,45709,57578,62132,60188,61258,70871,85964,80141,84960,83919,85127,77566,71793,62487,58520,54114,53497
48445,"Terry, TX",89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
48445,"Terry, TX",90,Manufacturing and information,(D),(D),(D),(D),(D),17729,22800,22927,19820,17075,19013,21381,22175,19884,22109,24106,25874,27633,(D),(D)
48445,"Terry, TX",91,Private goods-producing industries 2/,211923,235892,289137,350346,420407,455074,560889,651484,473527,645152,613025,640969,720621,516654,307886,255907,396977,(D),337347,206039
48445,"Terry, TX",92,Private services-providing industries 3/,99782,101874,112563,120361,134504,138930,143660,136553,147327,166436,166773,179127,177128,188017,181127,180789,171989,(D),178913,184450
48501,"Yoakum, TX",1,All industry total,1255010,1357909,1789607,2223313,2161957,2644611,2951089,3692991,2414968,2804460,3154025,3225530,3210356,2757648,1511359,1462585,1933732,2241190,1943908,1005768
48501,"Yoakum, TX",2,  Private industries,1223149,1325102,1755746,2189863,2126709,2608231,2911460,3649807,2369035,2756623,3105388,3174733,3157926,2703845,1455623,1403882,1874919,2182068,1884564,946149
48501,"Yoakum, TX",3,"    Agriculture, forestry, fishing and hunting",25620,48392,64512,66535,74997,91279,88150,9467,44204,82757,10709,11820,71196,11373,19033,17177,73793,49426,49381,56980
